NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
819,농협은행,839742,등급없음,등급없음,등급없음,A,2024,,,,
818,다스코,058730,C,C,D,B,2024,,,,
817,다올투자증권,030210,B+,A,A,B+,2024,,,,
816,다우기술,023590,A,A,A+,B+,2024,,,,
815,다우데이타,032190,D,D,C,D,2024,,,,
814,다원시스,068240,D,D,D,D,2024,,,,
813,다이나믹디자인,145210,D,C,D,D,2024,,,,
812,대교,019680,B,D,B+,B+,2024,,,,
811,대구백화점,006370,C,D,C,B,2024,,,,
810,대덕,008060,B+,B+,A,B,2024,,,,
809,대덕전자,353200,B+,B+,A,B,2024,,,,
808,대동,000490,B+,B+,A+,B,2024,,,,
807,대동전자,008110,D,D,D,D,2024,,,,
806,대림바스,005750,C,C,C,C,2024,,,,
805,대림통상,006570,D,C,C,D,2024,,,,
804,대상,001680,A,A,A+,B+,2024,,,,
803,대상홀딩스,084690,B,A,A+,C,2024,,,,
802,대성산업,128820,C,C,B,D,2024,,,,
801,대성에너지,117580,B,B+,A,C,2024,,,,
800,대성홀딩스,016710,C,B+,A,D,2024,,,,
799,대신증권,003540,B+,B+,A,B+,2024,,,,
798,대양금속,009190,D,C,C,D,2024,,,,
797,대영포장,014160,D,D,D,D,2024,,,,
796,대우건설,047040,A,A,B+,A,2024,,,사회 등급조정(2024.10.),
795,대웅,003090,B+,B+,A,B,2024,,,,
794,대웅제약,069620,B,B+,A,C,2024,,,,
793,대원강업,000430,B+,B+,A,B+,2024,,,,
792,대원전선,006340,D,C,D,D,2024,,,,
791,대원제약,003220,B+,B+,A,B+,2024,,,,
790,대원화성,024890,D,C,D,D,2024,,,,
789,대주전자재료,078600,B+,B,A,B,2024,,,,
788,대창,012800,D,C,D,D,2024,,,,
787,대창단조,015230,C,C,D,C,2024,,,,
786,대한방직,001070,C,C,D,C,2024,,,,
785,대한유화,006650,B+,B+,B+,B,2024,,,,
784,대한전선,001440,A,A,A+,B+,2024,,,,
783,대한제강,084010,C,C,C,C,2024,,,,
782,대한제당,001790,C,C,D,C,2024,,,,
781,대한제분,001130,C,C,C,C,2024,,,,
780,대한항공,003490,B+,B+,A,B+,2024,,,,
779,대한해운,005880,D,C,D,D,2024,,,,
778,대한화섬,003830,B+,B,A,B+,2024,,,,
777,대현,016090,C,D,D,B+,2024,,,,
776,대호에이엘,069460,D,C,C,D,2024,,,,
775,더네이쳐홀딩스,298540,D,D,D,D,2024,,,,
774,더블유게임즈,192080,C,D,D,B+,2024,,,,
773,더블유씨피,393890,D,C,C,D,2024,,,,
772,더존비즈온,012510,C,C,D,C,2024,,,,
771,덕산네오룩스,213420,D,C,D,D,2024,,,,
770,덕성,004830,C,C,D,C,2024,,,,
769,데브시스터즈,194480,C,D,D,B,2024,,,,
768,덴티움,145720,D,D,D,D,2024,,,,
767,도화엔지니어링,002150,C,C,C,B,2024,,,,
766,동국제약,086450,C,B+,A,D,2024,,,,
765,동국홀딩스,001230,A,B+,A+,B+,2024,,,,
